Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Demand,Optimal_decision
0.8015672584176834,0.9039504111255635,0.7806665787903135,0.8749758814316259,0.5338401178775591,0.10996450214714004,0.8417702252000603,0.23136636124628907,7.584191195288585,7.759694815775268
0.8460553664826967,0.8619162885764043,0.3716650817891094,0.891429780257854,0.4654522785302331,0.5273500806799821,0.49469873764586203,0.7988398933308535,9.98963619281266,10.171477317613041
0.8394244804000419,0.0024010581237603468,0.9741152932920053,0.39363492797962885,0.5097287266298959,0.9753487643172302,0.22319488936242848,0.1475369572499856,5.493318334910264,5.805733406000649
0.9271335499261674,0.4373939660347589,0.15011947184400165,0.9732081236231778,0.05009898379473321,0.4542387003736207,0.10471304897528422,0.6132540826111144,7.495689700162242,7.349882950127072
0.6047709781188266,0.06878256145932038,0.48678063098012103,0.4246775410049026,0.17649100996182443,0.9932490198252881,0.03292387502987404,0.17602992778948567,8.184536533944593,8.441236303653222
0.5250002870366117,0.7807280875294822,0.8164448905825447,0.10396962778563135,0.5730290815835986,0.18898796758453884,0.9870685368975796,0.6869213846439842,6.095047967838488,6.550132862813086
0.7673093541795416,0.8004503259058587,0.951728932737027,0.10607553599258812,0.4311555914576286,0.17202658789907377,0.8340608720813854,0.2728713329682576,5.2038339358925905,5.442476977169282
0.714280642250491,0.042568971340404715,0.013392702254886868,0.44857894501321194,0.40908668001491477,0.5067086533537846,0.8874539312018531,0.5472145472741998,4.3416892251688,4.291933392156746
0.46575149942967975,0.7044183270363703,0.16188434221584347,0.401092376983078,0.9400439470141796,0.05297917257436735,0.9946267475586655,0.9812299373239246,6.223417358783279,6.5714136238508996
0.5668313263103988,0.8511350287777967,0.3653210380851437,0.4316580414358978,0.7171642971404117,0.7366133377659034,0.2921552994668243,0.030729486183155075,8.939413124736381,9.061641396718287
0.16279143873270463,0.31902340129662765,0.2751145106834997,0.07760709852726755,0.06958510290919218,0.28194707420309617,0.2958485206318885,0.09201776976320031,5.622793847954619,5.579874362038075
0.3574288569335994,0.020966091166852663,0.9971768478795713,0.24290836223083012,0.1246959065575618,0.9269730436549724,0.9746753919790471,0.7410547280135473,4.219837858178398,4.268645320029024
0.9062004159957844,0.8600702625407204,0.45237381467174054,0.6308938225295985,0.8175143400839332,0.5665586163885515,0.23020694012783183,0.16906383050223406,9.803060632990737,10.170852850485293
0.3532414355067919,0.6910474701879987,0.6737568302125042,0.9303005971532585,0.36037920578183946,0.9205268337809116,0.5137100975896155,0.7248384712589183,8.617378086031236,9.01825657222853
0.3197859442885872,0.023762647816421012,0.7336183490918056,0.6124882756267624,0.6850127511866904,0.8509468561774851,0.6157077989217227,0.8799239482501809,7.137125608796907,7.424592982628972
0.17522109165776756,0.8749163991655252,0.7456387722374554,0.19550556772146777,0.509480122623082,0.6197180506625454,0.9462847667365234,0.782988475931311,7.3988178453349,7.670118600557404
0.05220511968950048,0.23010123297905316,0.7348630024367611,0.3182443403216355,0.49863660502103424,0.575175992248371,0.5141042605923785,0.2395605841185462,5.391961011369348,5.701174269998084
0.11181997631200291,0.5326764909217993,0.3512208197009117,0.6631017588427746,0.15483207403732813,0.962110453874751,0.9974412592771029,0.9409600716806148,7.908590188430715,7.602492277426075
0.88480104540843,0.8529321848831608,0.9870169649180232,0.8689230294294911,0.6891854854456336,0.14251441952034094,0.473333952577062,0.4949948638725733,6.7859733916377065,7.003662495390342
0.43179953507986346,0.3966891265213871,0.4645780332073559,0.7150466318841115,0.3802527438446228,0.6868409367088248,0.28309696533400475,0.8726976652667644,8.955488130531226,8.768883228295326
0.32544574661334413,0.20271875547652252,0.7470954584073584,0.20453692846084792,0.06950747904306886,0.7676600279449817,0.7877310735173911,0.10116320759542563,5.317299349644607,5.483466888930126
0.011541567281720844,0.5543374117636141,0.5996568523042702,0.24981731606136814,0.8457066667752269,0.44531045640863376,0.8173572938722956,0.7226129395625295,6.5742516701198355,7.003659574900022
0.8875042311173413,0.31494893609979036,0.2588997041837995,0.10130083202493079,0.2362714477883877,0.8130520739599325,0.36684490304061546,0.7352030831590284,8.681354852384752,8.143558827354223
0.2883457506493631,0.7406029463381303,0.31596924682173677,0.001708003385762158,0.2970971168033766,0.6756437456943682,0.901465616331788,0.18995975917298524,6.779879896766387,6.884663841772424
