Selected_Bandwidth,Decision_Q,Demand_D,Operation_Cost
0.1,1.5047779049426768,1.292055530578852,0.05318059359095623
0.1,1.187879225615308,1.0149962671365147,0.0432207396196983
0.1,1.3421669570116597,0.734316827432631,0.15196253239475715
0.1,1.8581891526958336,1.729328989993164,0.032215040675667383
0.1,1.8517766454451663,1.989215563858024,0.10307918880964329
0.1,0.9298650842073704,0.5245262979575964,0.10133469656244348
0.1,1.342923690841317,1.178655062303427,0.041067157134472454
0.1,1.1788657430068497,1.1590352488038522,0.004957623550749357
0.1,0.8942547830540514,0.9064992516884748,0.009183351475817558
0.1,3.229716922422532,3.2574095178208995,0.02076944654877566
0.1,2.1399351041165633,2.4753584652123974,0.2515675208218756
0.1,2.9072262145390595,2.943955984594764,0.027547327541778244
0.1,1.3506010359682885,1.165503558738385,0.04627436930747586
0.1,0.9415276618381254,0.7183687471834623,0.05578972866366577
0.1,1.9545340808808425,1.7709469443927766,0.045896784122016476
0.1,2.8229934006469373,2.301685823394762,0.13032689431304378
0.1,1.3914340382052166,1.0976849879186443,0.07343726257164307
0.1,1.1551735789030309,0.761742298663156,0.09835782005996871
0.1,1.4906772597323874,1.1370029137810498,0.0884185864878344
0.1,1.7176565121360896,1.3813887572164842,0.08406693872990134
0.1,1.872744484056358,1.058773644639307,0.20349270985426277
0.1,0.9744653224191356,0.4563868706907709,0.1295196129320912
0.1,1.6813261332381142,1.4874844257882494,0.04846042686246621
0.1,1.5565987805880588,1.5374664616745133,0.004783079728386375
0.1,1.8116866273212384,1.4518735201776605,0.08995327678589449
0.1,1.8052708142319305,1.758770480877372,0.011625083338639597
0.1,1.35272488822159,1.5360031608482725,0.1374587044700118
0.1,1.285274422544044,0.642340911433385,0.16073337777766475
0.1,1.540155094356216,1.137349131993334,0.10070149059072048
0.1,2.6992619513046336,2.743545521669701,0.033212677773800436
0.1,2.040891161519491,1.8394397468177337,0.0503628536754393
0.1,1.000844308891336,1.2638668956191623,0.1972669400458698
0.1,2.1621763786103614,1.8890739290054157,0.06827561240123642
0.1,1.1833327241149956,1.2337060926151011,0.037780026375079157
0.1,1.2621566345495152,1.0883916900555426,0.043441236123493154
0.1,1.6579296208796328,1.4943435108076484,0.040896527517996106
0.1,1.3758594222107527,1.5596817011732833,0.13786670922189792
0.1,1.5177184078198631,1.1424328923879323,0.0938213788579827
0.1,1.1274588279413065,0.7815780638266154,0.08647019102867276
0.1,0.838322580742854,0.410541051469257,0.10694538231839926
0.1,1.9322273958855336,1.8037982982596843,0.03210727440646233
0.1,2.4435816899334957,2.3841002069916346,0.014870370735465266
0.1,1.9355767882954604,1.750019062028433,0.046389431566756845
0.1,1.4104030690986349,1.8194903838640863,0.3068154860740886
0.1,1.5592626440963229,1.572697166355446,0.01007589169434242
0.1,1.0449741641064612,0.8230158923118236,0.05548956794865939
0.1,2.570018539556626,2.2536836496626025,0.07908372247350592
0.1,1.7290006509360063,1.3705228973240804,0.08961943840298148
0.1,0.8879152981316173,0.7265394170445482,0.04034397027176728
0.1,2.2065206319508275,1.966392756174937,0.06003196894397261
0.1,1.582332995795347,1.19517268929539,0.09679007662498923
0.1,2.743014665674696,2.3628922529621836,0.09503060317812806
0.1,0.9356692849008408,0.7275404809222799,0.05203220099464023
0.1,2.2802705123034603,1.5926179013528785,0.17191315273764546
0.1,1.1228103458668492,0.848612989967414,0.06854933897485882
0.1,2.257071765783391,2.157467579017567,0.024901046691456097
